"RelativePath","SHA256","Bytes"
".gitattributes","D9FC0DEE3327CB250550AC61434D691B6A5130AB1B39E650B01C66945DFA6F3F","735"
".github\workflows\console-tests.yml","5A9C416B68AC312CF4BD95A274B261FE1AC52D7B0EBB3C6F507875445BEC2215","1758"
".github\workflows\firmware-lifecycle-tests.yml","8F9BE8472184F0D924FF448BA5F456B2DB62D76ED0D36211AFC1599701E46EE0","2649"
".github\workflows\firmware-middleware-tests.yml","DA8C4CB11546DB04100030F5C65BE911209899933F5EBB4946D84C15F58C45C8","9817"
".github\workflows\protocol-tests.yml","2A88E542E58F2632E607CA2D1E6EFA20B1946B0691EE18598255ACACE0DA294F","3082"
".github\workflows\robustness-tests.yml","97B3502272DCD9A71AB032BC36E8CBE26943F77E4ABA579195872266D87BC157","4616"
".github\workflows\simulator-tests.yml","EE2D8DDF7B4E59600096F57FF4F90DCE09E94BCE28AF6D94A403B61E8D58898A","2024"
".github\workflows\stm32f401-hardware-contract.yml","ED554DF78F3AE5A871C2EE381C9FA84D782E745CF149A70DB9D672F4A4B2A0DF","5476"
".gitignore","FCF28B4BF18AC4E14616BD2C951BDDC3BABD06A589441FB00D39B3D7BEF4DED9","246"
"CHANGELOG.md","B1A12E143E79DA5AFB86D0BAA52737C1440707B468425D9808F17FD5AAB2EF47","1943"
"CITATION.cff","EF7FE3F7512A71F8822363D550BF71D5087ECA3FE4D7D8E8ED7F78717482E892","1384"
"console\README.md","07496BF3C42F54D8D9CBFEFB277304B23A2837615301C9BBBFB47FDB05317ACD","813"
"console\requirements-serial.txt","95FDAD543F34E4A191CD17219E1A73B4AB4B0B5AD9806A25C3B49E7B48AB8CA0","17"
"console\src\guardianctl\__init__.py","4590AB43D6DF2A9E85E4809F7C1BE9D984825673F98F21F832D1850211D72BC9","1452"
"console\src\guardianctl\__main__.py","A116D2AA6DCBEFB9DE5CF099F180C6210193E4A6730FE72F33299476209DEB56","337"
"console\src\guardianctl\cli.py","90CADC353C65394BF23E0B700A316D9FCA30B1444F35B107A5CD6F350A28F400","26504"
"console\src\guardianctl\client.py","0F1E3D755C85ED98F85404199AF4283321AD8CAA9068F0A407216E32805DBD0C","17532"
"console\src\guardianctl\config.py","F39EAA343D949925089DDA33EC75552403359C15EE7CB4E7AE995827EC6BEED4","4917"
"console\src\guardianctl\errors.py","FD2AB4D2E25A8B8A725D4F2ED59F225C46101A383DFE489C5CBF9EA65C79AC8D","2036"
"console\src\guardianctl\hardware_validation.py","4AC85BECE9822A3020B83D7FBFEEA616D83D66CFCABD8A74BBBF97E713168768","14481"
"console\src\guardianctl\presentation.py","B456EC1531DAA06D66BF8637E5268E178946E7C328D28D381BF5A7D61508D14C","22683"
"console\src\guardianctl\security_client.py","5549CA00C98C0FF889FE722ECB38B364A36C3896F7CF11F55E91BA7541B73394","13553"
"console\src\guardianctl\sequence.py","697DD2FA213947C00687ECF53093D34094DB5C87BFC9658A1A940B0781977E34","1742"
"console\src\guardianctl\serial_transport.py","9D40D7B208559631A9136FB5D32AC7D4775163ED0E8B9915257D4A0340F424FB","6861"
"console\src\guardianctl\telemetry_client.py","9FEDDAAFCBE2F6E61AD4775384DA3FFB4F1EE4876D3C77DAA784D34B3B7FB809","23870"
"console\src\guardianctl\transport.py","65754F266270A21FDA3270908E2ED504A688A5FBF5C2F4DB9D853C8BDA8A8227","7126"
"console\tests\test_cli.py","1A2C5F8F5BD7719F05F050AF79D7502FF7C62C0B0DAF9CEDD81E2451E4286257","4673"
"console\tests\test_cli_control.py","C39C4D8490BC03AF760CC460E97D51B77136CE6A3C58C4E0715995CE57896236","4916"
"console\tests\test_cli_firmware.py","9FAF476041F9785E6BBAAC3C3FA4C34B2CFBF2B239DBA23523A04C6452A11C9C","6463"
"console\tests\test_cli_health.py","0F61C7A634CEDF329B0A7A83392AC6D7435317DE41277866469D96425CB3EE26","4477"
"console\tests\test_cli_security.py","D2285B81CC1BAF30CC76C3323E632A2065BEB42260A5330796C0F53C2D335B44","4832"
"console\tests\test_cli_telemetry.py","64FCD95EB1E0F1B81D759FE17F2737AFF637C3B1E520BE06792574109B53B54B","3795"
"console\tests\test_control_client.py","850F28654ACB8B23DF648D749A1A047E11823D1A6BEE4A210A4B32197A6524BC","3851"
"console\tests\test_dsp_client.py","36FE7BCB1435BA50717F144BA05B2BE3C5F01272CD20E0F7A6CAE41C7B0BEEBB","2913"
"console\tests\test_firmware_client.py","6EA835375CE5A1AEFD9B0F66358C560180CC7C076F814DE3B63A335AD63E0A80","5884"
"console\tests\test_hardware_validation.py","20ED81835BE8E059FB32D2A703E7F4DDAF057E21A0450CE239A9E2785AEA1FDC","8984"
"console\tests\test_health_client.py","349F3A8B3181DDDB3AAB7D8DB669A6CA49F7A0A94D4BD04BD6469A9E65938D74","4225"
"console\tests\test_presentation.py","8E54DAE9F4E63CD853149FE0B6381132B6FCA2DE5833C073B57C2BA68DE79A87","2850"
"console\tests\test_security_client.py","40656CD46F98711BC16AEF0071AB5D282CF2A48C0FC34CA50B8448BBB1758C4E","5768"
"console\tests\test_sequence.py","67B1D031479540EE8941F665D804CCCAB8FAF4E04B0A1B11524B4AD811E58D8B","1844"
"console\tests\test_serial_transport.py","AB582AEAA4E41286DA3A71B9A961C90093494BC66C5AC99605B5496AC357C530","4369"
"console\tests\test_telemetry_client.py","ED3C4F798025542F9EBBD476E311851E46BE85D23D78214F0F5F132B043A8DE8","3859"
"console\tests\test_telemetry_serial.py","9D93E7149E5F39E6EA569A71A51BFC8C69FAEB74C84ADC3DC2123E40866F15D9","5078"
"console\tests\test_transport.py","E1C208AA6FCC3F212C5AC147DC9D88601FA86C2EE986E7B8EE47FA49E2990B1E","5383"
"COPYRIGHT","6081458ACF3BEC8B55189EDA36C1A2951BB6E2C4A90A1CF10F6C3919C7078738","815"
"docs\architecture.md","0E7DF7279DC8BDB1E8B49DA6086B2DE31C113B61A7B73791D889C49AD3086125","686"
"docs\m10-security.md","F85DF22677FC30179D3670305E1384ACC7A8F9D73C3A23F34AD29DC263328933","5811"
"docs\m11-robustness.md","08EAA7950CC253EAA3D38DE17A8EFC8BBF9102DA9DFAAB418A7EC970C8BCE75D","6600"
"docs\m12-firmware-lifecycle.md","C9E48BE37E15E0D6C240607216F34245E1CB58CF2E0272A00DA56771A55048FE","7154"
"docs\m13-hardware-validation.md","7998E07839CAA2B1509FC4D5CFC232C243A3309DF24B6F31549F337BC1E5B610","10410"
"docs\m1-protocol.md","092423A4514CD3A2EB2779BC88FA3A07DAFF5AA9F976A3D76232503B97E7D395","1032"
"docs\m2-simulator.md","D821B63AE992192427615E677538D22C70FD39450867C29FAD638C26383A506F","1378"
"docs\m3-guardianctl.md","57A124D0F368DB1D3EACF801712B9E933F2E935E1098C49F8255E39F98A802F8","1717"
"docs\m4-stm32-uart.md","36A7770542FEB537B3B37AA5E89C8B791B1F74072771CC0C6E07F09D129067B8","4064"
"docs\m5-telemetry.md","F83557033A36D32AA70900CE48C901F9A6BFE6856F386CC846ED3AC45F511582","2891"
"docs\m6-acquisition.md","A5797D418D7A7B1118A52A66B1597F68ACDFF3E8486F39E8AFE163C92329DE3E","8259"
"docs\m7-dsp.md","11D1DDC4B581BA42412977E7A8A37F1CE854E26FFC74A505798274B37C02CFCB","1496"
"docs\m8-health.md","830CCAA26619E8B4F80EEA06A6075A80EA5BA79C87ADEF22A4E30C0D8FAC9D68","5270"
"docs\m9-control.md","69B6E65D3DF3769AAF230186D6CB01A36A14BA160D0EE71C07DCC2D594ADC316","5811"
"docs\release-evidence-v0.13.0.md","9D516CBB6112B09DA2F1861A46168749AD0680F156D0B6FE3D0D8AB7252493C6","3021"
"docs\threat-model.md","82A61123240F9ABBC5DAE0323294145DFE957279E2F04F4E6CB813638D2C6A55","708"
"docs\zenodo-deposit-v0.13.0.md","F163B091C8822F95E5ECF1A9312CCD0253BE4D820A2424AB345AF6EF0CF67226","2933"
"firmware\Acquisition\Inc\guardian_acquisition.h","941623BB9336DA97B4AAC49338E3A04948FDC4D3869EFBE17FA9731B0BF71C9D","8321"
"firmware\Acquisition\Src\guardian_acquisition.c","5E6AE6F6C83319578D059F2938CADBD99190EE0368F7D02490D4E49056E9852C","24404"
"firmware\App\Inc\guardian_device_service.h","AAE83C393095BF889E472D81580E04D28CF323765251B0092776FFB42DC71AED","3126"
"firmware\App\Inc\guardian_firmware_app.h","A4B6A4A825F0C9230425C228EF641B405AB94D4936B723665DF93D17CA4AD7E7","3987"
"firmware\App\Src\guardian_device_service.c","83897B5394F222D115F197886C9423514649C7BA704DA7680B600EE17C17C667","10218"
"firmware\App\Src\guardian_firmware_app.c","7785B78DA93466896A79E826CB905FE62C4E2C1734DB5635EC3066BDB1250B72","14554"
"firmware\Control\Inc\guardian_control.h","47B832BE79AC5954591C487B70289315342E0F25388E4E89BFB6CE3C7873ADF2","7353"
"firmware\Control\Src\guardian_control.c","D1E7EF97D1DF77415996FD53D393BC593CB07EA2CF37B3820A7818B6A56E3768","37858"
"firmware\Core\Inc\.gitkeep","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0"
"firmware\Core\Src\.gitkeep","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0"
"firmware\Diagnostics\.gitkeep","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0"
"firmware\DSP\Inc\guardian_dsp.h","2A5BAF2E80A5E667A3251B4E175C522499416C3DFCDFEA632413A6DEFD94697D","4042"
"firmware\DSP\Src\guardian_dsp.c","469AFE16CF3C9187F3A9EBF34D211AE7F5D6B9EA8B5421244229F66DB604712B","29391"
"firmware\Firmware\Inc\guardian_firmware_lifecycle.h","AAF55EBC05F4F186508EB7AC03396B5960DE698736BDD2A32BFE5C21503F99EE","13929"
"firmware\Firmware\README.md","BC296FB641D346016460DE5F2D79A9FF0AC4DDFD1732759004078014972F41DC","684"
"firmware\Firmware\Src\guardian_firmware_lifecycle.c","6C74E68CBAEC3846BF28B8D0A7FF217191D8A2251FAAEC595034CED6068222F7","35702"
"firmware\Health\Inc\guardian_health.h","2D13199F8F120734394821566F50E9D3F198294E11D5A836C69D761C2277CB48","7657"
"firmware\Health\Src\guardian_health.c","FE2D1FD23FDE473793A150DCA72869A9A751D9DFF6DE5F1CD60658B6454252CC","37106"
